,autores,titulo,revista,volume,paginas,ano,doi,link
0,"Geraldo P. Rocha Filho, Rodolfo Ipolito Meneguette, Guilherme Maia, Gustavo Pessin, Vinícius P. Gonçalves, Li Weigang, Jó Ueyama, Leandro A. Villas",A fog-enabled smart home solution for decision-making using smart objects.,Future Gener. Comput. Syst.,103,18-27,2020,10.1016/J.FUTURE.2019.09.045,https://doi.org/10.1016/j.future.2019.09.045
1,"Jose Rodrigues Torres Neto, Geraldo P. R. Filho, Leandro Y. Mano, Leandro A. Villas, Jó Ueyama",Exploiting Offloading in IoT-Based Microfog - Experiments with Face Recognition and Fall Detection.,Wireless Communications and Mobile Computing,2019,2786837:1-2786837:13,2019,10.1155/2019/2786837,https://doi.org/10.1155/2019/2786837
2,"Felipe Taliar Giuntini, Larissa Pires Ruiz, Luziane De Fatima Kirchner, Denise Aparecida Passarelli, Maria de Jesus Dutra dos Reis, Andrew Thomas Campbell, Jo Ueyama",How Do I Feel? Identifying Emotional Expressions on Facebook Reactions Using Clustering Mechanism.,IEEE Access,7,53909-53921,2019,10.1109/ACCESS.2019.2913136,https://doi.org/10.1109/ACCESS.2019.2913136
3,"Geraldo P. R. Filho, Leandro A. Villas, Vinícius P. Gonçalves, Gustavo Pessin, Antonio A. F. Loureiro, Jó Ueyama",Energy-efficient smart home systems - Infrastructure and decision-making process.,Internet Things,5,153-167,2019,10.1016/J.IOT.2018.12.004,https://doi.org/10.1016/j.iot.2018.12.004
4,"Leandro Y. Mano, Vinícius A. Barros, Luiz Henrique Nunes, Luana O. Sawada, Júlio Cezar Estrella, Jó Ueyama",ENLACE - A Combination of Layer-Based Architecture and Wireless Communication for Emotion Monitoring in Healthcare.,Mobile Information Systems,2019,7329187:1-7329187:12,2019,10.1155/2019/7329187,https://doi.org/10.1155/2019/7329187
5,"Claudio Correa, Rodolfo Ipolito Meneguette, Patrícia R. Oliveira, Jó Ueyama",Optimization of Transmission Signal Power through Observation of Congestion in VANets Using the Fuzzy Logic Approach - A Case Study in Highway and Urban Layout.,Wireless Communications and Mobile Computing,2019,2605234:1-2605234:23,2019,10.1155/2019/2605234,https://doi.org/10.1155/2019/2605234
6,"Bruna C. R. Cunha, Kamila R. H. Rodrigues, Isabela Zaine, Leonardo F. Scalco, Caio César Viel, Maria da Graça Campos Pimentel",Web-based authoring of multimedia intervention programs for mobile devices - a case study on elderly digital literacy.,SAC,,484-491,2019,10.1145/3297280.3297325,https://doi.org/10.1145/3297280.3297325
7,"Bruna C. R. Cunha, Kamila R. H. Rodrigues, Maria da Graça Campos Pimentel",Synthesizing guidelines for facilitating elderly-smartphone interaction.,WebMedia,,37-44,2019,10.1145/3323503.3349563,https://doi.org/10.1145/3323503.3349563
8,"Caio César Viel, Kamila R. H. Rodrigues, Bruna C. R. Cunha, Maria G. C. Pimentel",Elderly vloggers - authoring and sharing stories with mobile media and DTV using the the GhostWriter service.,WebMedia,,185-192,2019,10.1145/3323503.3360303,https://doi.org/10.1145/3323503.3360303
9,"Larissa Cardoso Zimmermann, Kamila Rios da Hora Rodrigues, Maria da Graça Campos Pimentel",EPARS - elderly physical activity reminder system using smartphone and wearable sensors.,UbiComp/ISWC Adjunct,,1139-1145,2019,10.1145/3341162.3350845,https://doi.org/10.1145/3341162.3350845
